Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,43,1,0,0,4,0,1,12,0,3,1,5,1,30,1,0,0,0,0,120,7.75,3,3.5,3,0,3,7,6,4,4,1,80000,2,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
3,42,0,1,0,5,0,1,9,1,3,1,5,1,50,1,0,0,1,0,60,6,3,1.5,3,0,4,9,8,4,4,1,300000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,43,1,1,0,5,0,1,12,1,3,1,5,1,60,5,0,0,1,1,60,6.25,4,1,5,0,4,8,7,3,4,1,300000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,37,0,1,0,6,0,1,9,1,0,1,4,2,60,5,0,0,1,0,30,4.5,3,3,4,0,4,8,5,3,4,1,100000,2,3,52164,11676.87735,2.277462284,0.12426451,0.7997813
2,27,0,1,1,5,0,1,15,4,3,1,5,2,28,2,1,0,1,1,300,8.25,3,2.5,2.5,0,4,7,7,3,4,1,70000,2,3,52321,15174.6888,2.99744656,0.11974845,0.7890891
2,35,0,1,0,4,0,1,15,8,3,1,3,0,0,2,0,0,0,0,60,5,3,3.5,3,0,3,6,5,3,4,1,80000,2,3,82864,17090.44489,2.701923077,0.1360413,0.7554917
2,35,1,0,0,4,0,1,9,3,0,1,5,1,40,1,1,0,0,0,50,4.25,3,3,3,0,5,5,5,2,4,1,60000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,31,0,0,0,7,0,1,9,0,3,1,4,0,0,2,0,0,0,0,120,6,1,2.5,3,0,3,7,6,4,4,1,150000,2,3,44968,17083.30658,3.088532676,0.12379842,0.7510208
2,26,0,1,0,2,0,1,9,2,0,1,4,2,10,5,0,1,1,0,120,4.5,4,4,3.5,0,4,5,5,4,2,0,128000,4,2,73598,13615.39976,2.419983628,0.14213363,0.7547863
1,36,0,1,1,3,1,1,16,0,1,1,3,1,10,2,0,0,0,0,120,6.75,3,3,2,0,4,8,8,5,4,1,400000,4,3,44968,17083.30658,3.088532676,0.12379842,0.7510208
2,40,1,0,0,5,0,1,9,2,3,1,5,1,50,2,1,1,1,0,180,6,3,2.5,3,0,3,10,10,3,4,0,200000,4,1,86003,11934.1041,2.218453189,0.11183889,0.7159051
2,38,0,0,0,5,0,1,6,2,3,1,5,0,0,1,0,0,0,0,360,5.5,3,3.5,3,0,4,4,3,3,4,0,200000,4,1,86003,11934.1041,2.218453189,0.11183889,0.7159051
2,36,0,1,0,4,0,1,9,0,0,1,5,1,8,1,0,0,0,0,300,6.25,5,1,4,0,4,10,10,4,5,0,120000,3,1,144390,17500.14093,2.112546514,0.09903553,0.7959039
2,47,1,0,0,4,0,1,12,9,3,1,4,0,0,2,0,1,1,0,30,4.5,2,2,1,0,2,8,3,1,2,0,40000,1,3,44968,17083.30658,3.088532676,0.12379842,0.7510208
1,36,1,1,1,3,1,1,9,0,3,1,5,1,70,2,0,0,0,0,120,4.25,3,3,3,0,1,10,10,3,1,1,100000,3,3,61716,14276.13467,2.783917607,0.10488397,0.7936954
2,30,0,1,0,5,0,0,15,2,3,0,4,1,40,5,1,0,0,0,240,5.75,3,2,3.5,0,4,8,9,4,4,0,96000,2,3,61716,14276.13467,2.783917607,0.10488397,0.7936954
2,50,1,0,0,6,0,1,0,2,0,1,4,1,42,2,1,0,1,0,0,4.25,4,4,4.5,0,3,3,5,3,2,1,6000,1,3,44968,17083.30658,3.088532676,0.12379842,0.7510208
2,48,0,0,0,6,0,1,0,2,0,1,5,1,6,2,0,0,1,0,120,4.5,5,5,3,0,2,5,5,3,5,1,6000,1,3,44968,17083.30658,3.088532676,0.12379842,0.7510208
2,47,1,1,1,4,0,0,6,2,3,1,5,1,56,2,1,0,0,1,60,7,3,1,5,0,2,10,2,3,3,1,100000,3,3,61716,14276.13467,2.783917607,0.10488397,0.7936954
2,45,0,1,0,4,0,0,9,2,3,1,4,1,49,4,0,0,0,0,30,6,4,1,4.5,0,4,2,2,5,5,1,100000,3,3,61716,14276.13467,2.783917607,0.10488397,0.7936954
2,36,1,1,0,1,0,1,9,3,0,1,1,1,60,5,1,0,1,0,180,3.75,1,1,5,0,4,10,8,3,4,0,60000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
