Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility,fam_income1
2,35,0,1,0,4,0,1,15,8,3,1,3,0,0,2,0,0,0,0,60,5,3,4,3,0,3,6,5,3,4,1,2,3,82864,17090,3,0,1,11
2,35,1,0,0,4,0,1,9,3,0,1,5,1,40,1,1,0,0,0,50,4,3,3,3,0,5,5,5,2,4,1,2,2,62106,10785,2,0,1,11
2,31,0,0,0,7,0,1,9,0,3,1,4,0,0,2,0,0,0,0,120,6,1,3,3,0,3,7,6,4,4,1,2,3,44968,17083,3,0,1,12
2,26,0,1,0,2,0,1,9,2,0,1,4,2,10,5,0,1,1,0,120,5,4,4,4,0,4,5,5,4,2,0,4,2,73598,13615,2,0,1,12
1,36,0,1,1,3,1,1,16,0,1,1,3,1,10,2,0,0,0,0,120,7,3,3,2,0,4,8,8,5,4,1,4,3,44968,17083,3,0,1,13
2,40,1,0,0,5,0,1,9,2,3,1,5,1,50,2,1,1,1,0,180,6,3,3,3,0,3,10,10,3,4,0,4,1,86003,11934,2,0,1,12
2,38,0,0,0,5,0,1,6,2,3,1,5,0,0,1,0,0,0,0,360,6,3,4,3,0,4,4,3,3,4,0,4,1,86003,11934,2,0,1,12
2,36,0,1,0,4,0,1,9,0,0,1,5,1,8,1,0,0,0,0,300,6,5,1,4,0,4,10,10,4,5,0,3,1,144390,17500,2,0,1,12
2,47,1,0,0,4,0,1,12,9,3,1,4,0,0,2,0,1,1,0,30,5,2,2,1,0,2,8,3,1,2,0,1,3,44968,17083,3,0,1,11
1,36,1,1,1,3,1,1,9,0,3,1,5,1,70,2,0,0,0,0,120,4,3,3,3,0,1,10,10,3,1,1,3,3,61716,14276,3,0,1,12
2,30,0,1,0,5,0,0,15,2,3,0,4,1,40,5,1,0,0,0,240,6,3,2,4,0,4,8,9,4,4,0,2,3,61716,14276,3,0,1,11
2,50,1,0,0,6,0,1,0,2,0,1,4,1,42,2,1,0,1,0,0,4,4,4,5,0,3,3,5,3,2,1,1,3,44968,17083,3,0,1,9
2,48,0,0,0,6,0,1,0,2,0,1,5,1,6,2,0,0,1,0,120,5,5,5,3,0,2,5,5,3,5,1,1,3,44968,17083,3,0,1,9
2,47,1,1,1,4,0,0,6,2,3,1,5,1,56,2,1,0,0,1,60,7,3,1,5,0,2,10,2,3,3,1,3,3,61716,14276,3,0,1,12
2,45,0,1,0,4,0,0,9,2,3,1,4,1,49,4,0,0,0,0,30,6,4,1,5,0,4,2,2,5,5,1,3,3,61716,14276,3,0,1,12
2,36,1,1,0,1,0,1,9,3,0,1,1,1,60,5,1,0,1,0,180,4,1,1,5,0,4,10,8,3,4,0,4,1,101905,14643,2,0,1,11
2,32,1,1,0,5,0,1,15,0,6,0,5,1,72,5,0,0,0,0,240,6,3,3,3,0,4,8,9,4,4,1,3,1,101905,14643,2,0,1,12
2,42,1,0,0,4,1,1,12,1,3,1,5,1,63,2,1,0,0,1,60,6,4,2,5,0,2,10,10,5,4,1,3,1,119235,20028,2,0,1,11
2,41,0,0,0,4,1,1,9,1,3,1,4,1,48,5,0,0,0,0,120,7,2,5,1,0,3,10,10,4,5,1,3,1,119235,20028,2,0,1,11
